Integral: 1.000499	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001849	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000254	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000177	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000149	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000972	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000310	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999366	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000251	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998703	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001137	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999613	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999468	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999830	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000110	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999221	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001582	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999507	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999656	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000087	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.003157	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998343	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001319	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999771	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000492	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000750	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998873	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999104	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000043	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000391	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999452	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000376	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999923	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001116	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001661	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999573	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000202	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000170	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000051	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000336	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998813	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000734	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999180	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000700	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001639	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
